Date,MMM,AXP,BA,CAT,CVX,CSCO,KO,DWDP,XOM,GE,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,V,WMT,DIS,AAPL,^DJI
2007-01-03,59.224041,50.453205,67.945892,44.781055,48.461769,22.910717,17.589045000000002,38.117034999999994,55.702538,25.740261,176.424332,30.946490999999998,76.182991,14.576901999999999,47.866642,36.934959,31.467432000000002,29.223318,23.080967,10.458423,16.777363,46.500885,40.88493,46.633595,48.936302000000005,20.572556,,36.766621,28.926102,10.770167,12474.519531
2007-01-04,58.989429,50.085419,68.220215,44.663909999999994,47.990608,23.513851000000003,17.596292000000002,37.946663,54.657818000000006,25.591133,174.78071599999998,30.569727,76.997505,15.164276999999998,48.464996,37.027153000000006,31.230724,29.94693,23.042315,10.565505,16.834792999999998,46.147853999999995,40.541374,46.935196000000005,48.983059000000004,20.686783,,36.944443,29.15447,11.00922,12480.69043
2007-01-05,58.588359999999994,49.425079,67.930679,44.092781,48.174991999999996,23.522114000000002,17.473186,37.586975,55.048649,25.462328,174.956512,29.981987,76.30046800000001,15.114139000000002,48.025242,36.719809999999995,31.230724,29.409187,22.910908,10.582636,16.783747,45.751568,40.014565000000005,46.615845,48.835029999999996,20.333206,,36.642899,28.91765,10.930819,12398.009766
2007-01-08,58.716984,49.893169,67.770653,44.144039,48.789536,23.654301,17.585424,37.378738,54.605185999999996,25.45554,179.07003799999998,29.755940999999996,77.459595,15.04967,47.945961,36.842743,31.352669,29.402559000000004,23.135077,10.550514999999999,16.694397,45.852451,39.716801000000004,47.298901,49.232372,20.242476999999997,,36.341351,29.179844,10.984798,12423.490234
2007-01-09,58.785091,49.575539,67.054344,44.385666,48.229595,23.522114000000002,17.599911,37.284084,54.184292000000006,25.45554,179.377594,29.627847999999997,78.375984,15.063998000000002,47.765728,36.689071999999996,31.410057000000002,29.130375,23.158260000000002,10.682221,16.700779,45.737183,39.61755,46.731178,48.671409999999995,20.324963,,36.642899,29.137553999999998,11.897308,12416.599609
2007-01-10,58.913768999999995,49.542107,68.022095,44.166008000000005,47.396542,23.695618,17.625254,37.340874,53.35751,25.462328,182.919846,29.974446999999998,77.451797,15.414987,47.686455,36.958012,31.747168,29.289692,22.926367000000003,10.682221,16.719927,46.28476,39.357952000000004,46.864231,48.842819,20.209476000000002,,36.557854,29.171387,12.466661,12442.160156
2007-01-11,59.51915,49.692566,67.694427,43.931709000000005,46.904892,23.703876,17.646978,37.889866,53.349979000000005,25.706367,186.233521,30.200509999999998,77.263809,15.701510999999998,48.104557,37.11937,31.926491,29.382640999999996,23.730261,10.705781,16.885845,46.572945000000004,39.090748,48.301308,49.629726,20.407446,,36.805275,29.594284000000002,12.312438,12514.980469
2007-01-12,60.056454,49.324791,67.153435,43.741337,48.038406,23.893909,17.578188,38.277946,54.612719999999996,25.686035,188.08815,30.223121999999996,77.804237,15.851939999999999,48.039654,36.873486,31.718490999999997,29.734484000000002,24.124472,10.682221,17.000717,46.832336,38.983849,48.877899,50.190678000000005,20.528433,,37.099094,29.780361,12.16078,12556.080078
2007-01-16,60.207809,49.425079,67.054344,43.375244,47.574073999999996,23.166845000000002,17.560081,38.410465,53.83854300000001,25.835176,187.736557,30.358744,78.963379,15.973704999999999,47.967575,37.180836,31.969535999999998,29.840709999999998,24.085823,10.704708,17.083681,46.832336,38.976215,49.454502000000005,50.276398,20.434944,,37.354275,29.628113,12.479513,12582.589844
2007-01-17,59.715916,49.500313,67.686836,43.865818,48.359352,22.291067,17.596292000000002,38.571373,54.462379000000006,25.747045999999997,187.420105,30.358744,78.336823,15.071159,48.205463,37.211571,32.177547,29.880533000000003,24.039452,10.688642,17.160254000000002,47.317387,38.907501,49.365784000000005,50.502338,20.280967999999998,,37.269211,29.814192,12.203192,12577.150391
2007-01-18,59.640246999999995,49.316421999999996,67.054344,44.079208,48.427631,21.853172,17.505779,38.751217,54.08658199999999,25.760609,184.29981999999998,30.79578,77.89035799999999,14.791795,48.811028,36.996429,31.983881,30.365152000000002,23.962154,10.672584,17.338942000000003,47.447685,39.159458,47.724701,50.57246,20.66041,,37.416121999999994,30.321657000000002,11.447481,12567.929688
2007-01-19,59.973220999999995,48.555786,67.534424,43.68919,49.383629,22.059729,17.473186,39.830269,55.266608999999995,25.048798,185.14498899999998,30.554653000000002,75.321442,14.913570000000002,48.847054,37.465121999999994,32.141693,30.272209000000004,24.047186,10.701495,17.370853,47.845856,39.220528,47.192463000000004,50.782818,20.484442,,37.354275,30.025637,11.374224,12565.530273
2007-01-22,59.398079,48.530701,65.22560899999999,42.806145,48.632488,21.919276999999997,17.389912,39.489513,54.79310600000001,24.913218,187.504547,30.177891,76.057632,14.892087,48.428944,38.156634999999994,31.811735,30.073055,23.745720000000002,10.461637,17.198551000000002,47.577988,39.495391999999995,46.296501,49.933582,20.484442,,37.083626,29.729612,11.15445,12477.160156
2007-01-23,59.67049,48.096046,66.566696,43.829018,49.547489,21.514435,17.422499,39.139297,55.988170999999994,24.777624,187.213989,30.464245000000002,76.034172,14.720164000000002,47.938736,38.28727,32.170372,30.358515,23.761185,10.360982,16.828417,47.520081,39.556465,45.657803,51.530777,20.616421,,36.967667,30.093303999999996,11.014361,12533.799805
